Age;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99968;99938;99912;99890;99873;99858;99846;99834;99825;99816;99808;99800;99792;99784;99775;99763;99749;99726;99683;99580;99247;99259;99270;99281;99292;99303;99313;99324;99334;99343
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99968;99936;99907;99881;99860;99843;99828;99816;99806;99797;99789;99781;99774;99766;99758;99749;99739;99724;99701;99659;99557;99224;99236;99247;99259;99270;99281;99292;99302;99313;99323
23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99968;99936;99905;99876;99851;99830;99813;99800;99788;99778;99770;99762;99755;99748;99740;99733;99725;99714;99700;99677;99635;99533;99201;99214;99226;99237;99249;99260;99271;99282;99292;99303
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99967;99936;99904;99874;99845;99821;99801;99784;99771;99760;99751;99743;99735;99728;99721;99715;99708;99699;99690;99676;99654;99611;99510;99179;99191;99203;99215;99227;99239;99250;99262;99272;99283
25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99967;99935;99904;99873;99843;99815;99791;99771;99756;99743;99732;99723;99715;99709;99702;99696;99689;99683;99675;99665;99652;99630;99588;99487;99156;99169;99181;99194;99206;99218;99229;99241;99252;99262
26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99967;99934;99903;99872;99842;99812;99785;99761;99742;99727;99714;99705;99696;99689;99682;99676;99670;99664;99658;99650;99641;99628;99606;99565;99464;99134;99147;99160;99172;99185;99197;99209;99220;99231;99243
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99966;99933;99901;99870;99840;99811;99781;99754;99732;99713;99698;99686;99676;99668;99662;99656;99649;99644;99638;99633;99625;99617;99604;99583;99542;99442;99111;99125;99138;99151;99163;99176;99188;99200;99212;99223
28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99965;99932;99900;99869;99838;99809;99780;99751;99725;99702;99684;99669;99658;99649;99641;99635;99628;99624;99618;99613;99608;99601;99592;99580;99559;99519;99419;99088;99102;99116;99129;99142;99155;99167;99179;99191;99203
29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99965;99931;99898;99867;99836;99806;99777;99748;99720;99694;99673;99654;99641;99629;99621;99613;99607;99602;99597;99592;99588;99582;99576;99568;99556;99535;99495;99395;99066;99080;99094;99107;99121;99133;99146;99159;99171;99183
30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99964;99929;99896;99864;99833;99802;99773;99745;99716;99689;99663;99642;99625;99611;99601;99593;99586;99580;99575;99571;99566;99562;99557;99551;99543;99532;99512;99472;99372;99043;99057;99072;99085;99099;99112;99125;99137;99150;99163
31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99963;99927;99893;99861;99829;99799;99769;99740;99712;99684;99657;99632;99611;99595;99581;99571;99564;99558;99552;99548;99544;99539;99536;99531;99526;99518;99506;99487;99447;99348;99019;99034;99049;99063;99076;99090;99103;99116;99129;99141
32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99962;99925;99890;99857;99825;99794;99764;99735;99707;99679;99652;99625;99601;99581;99564;99552;99542;99535;99529;99524;99520;99516;99513;99509;99504;99499;99492;99481;99462;99423;99324;98995;99011;99025;99040;99054;99068;99081;99095;99108;99120
33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99960;99922;99886;99852;99819;99788;99758;99728;99700;99672;99645;99619;99592;99569;99548;99533;99520;99511;99504;99499;99495;99491;99488;99485;99481;99477;99473;99466;99455;99436;99397;99300;98971;98986;99002;99016;99031;99045;99059;99073;99086;99098
34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99958;99919;99881;99846;99813;99780;99750;99720;99692;99664;99636;99610;99584;99559;99535;99516;99500;99489;99480;99474;99469;99464;99462;99458;99456;99453;99450;99445;99439;99428;99411;99372;99274;98946;98962;98977;98992;99007;99022;99036;99050;99063;99076
35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99956;99915;99876;99840;99805;99772;99740;99711;99682;99654;99626;99600;99574;99548;99524;99501;99482;99467;99456;99447;99442;99437;99434;99431;99428;99426;99424;99421;99417;99411;99401;99383;99345;99248;98920;98936;98952;98967;98982;98997;99011;99026;99039;99053
36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99953;99910;99870;99831;99796;99762;99730;99699;99669;99641;99614;99588;99562;99536;99511;99487;99465;99446;99432;99421;99414;99408;99404;99401;99399;99397;99395;99393;99391;99387;99382;99372;99355;99317;99220;98893;98910;98925;98941;98956;98971;98986;99001;99015;99029
37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99950;99904;99862;99822;99785;99750;99717;99685;99656;99627;99599;99572;99547;99521;99496;99473;99449;99427;99409;99395;99385;99378;99373;99370;99367;99365;99364;99363;99361;99359;99356;99351;99342;99324;99287;99190;98864;98881;98898;98913;98929;98945;98960;98975;98989;99003
38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99947;99898;99853;99811;99772;99736;99702;99669;99639;99610;99581;99555;99529;99504;99479;99455;99431;99408;99387;99370;99357;99347;99341;99336;99334;99331;99330;99329;99328;99327;99326;99323;99318;99310;99293;99256;99160;98834;98851;98868;98885;98901;98917;98932;98947;98962;98976
39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;99942;99890;99842;99798;99757;99719;99684;99650;99619;99589;99561;99534;99507;99482;99458;99434;99411;99387;99365;99345;99328;99316;99307;99301;99297;99295;99293;99292;99292;99292;99292;99291;99288;99284;99276;99260;99223;99127;98802;98820;98837;98854;98870;98887;98903;98918;98933;98948
